symbol,LTP,change,predicted_price,pChange,decision
CREDITACC.NS,883.4,-1.52,902.12,2.12,Predicted Watch
FEDERALBNK.NS,199.72,0.23,200.64,0.46,Predicted Watch
ZENSARTECH.NS,700.85,0.68,698.13,-0.39,Predicted Sell
GLAXO.NS,2454.95,-0.49,2476.07,0.86,Predicted Watch
KSB.NS,801.45,0.3,801.63,0.02,Predicted Watch
TTML.NS,67.9,-0.6,68.01,0.16,Predicted Watch
GAEL.NS,122.69,-0.66,123.27,0.47,Predicted Watch
MFSL.NS,1209.0,0.57,1204.24,-0.39,Predicted Sell
SKFINDIA.NS,4690.0,-3.1,4859.95,3.62,Predicted Watch
KAJARIACER.NS,1142.1,-0.34,1148.92,0.6,Predicted Watch
PRAJIND.NS,670.5,-0.81,680.03,1.42,Predicted Buy Opportunity
HONAUT.NS,42128.65,-0.29,42325.43,0.47,Predicted Watch
COROMANDEL.NS,1675.85,-0.37,1684.77,0.53,Predicted Watch
MANKIND.NS,2618.65,2.38,2552.89,-2.51,Predicted Sell
SBILIFE.NS,1549.55,0.18,1553.66,0.27,Predicted Watch
INDHOTEL.NS,710.5,-0.63,708.86,-0.23,Predicted Sell
BLUEDART.NS,7478.9,-0.41,7471.27,-0.1,Predicted Sell
KIRLOSENG.NS,1113.1,0.63,1106.19,-0.62,Predicted Sell
SYNGENE.NS,861.65,-0.12,859.14,-0.29,Predicted Sell
BIRLACORPN.NS,1090.0,0.49,1097.37,0.68,Predicted Watch
JPPOWER.NS,16.75,0.18,16.88,0.78,Predicted Watch
FINCABLES.NS,1124.65,-0.16,1139.93,1.36,Predicted Buy Opportunity
BSE.NS,4550.25,1.22,4538.34,-0.26,Predicted Sell
ICICIPRULI.NS,691.5,0.07,690.4,-0.16,Predicted Sell
HINDALCO.NS,630.55,0.08,632.06,0.24,Predicted Watch
SUNPHARMA.NS,1792.25,0.54,1786.14,-0.34,Predicted Sell
NATCOPHARM.NS,1417.1,2.84,1384.85,-2.28,Predicted Sell
HDFCAMC.NS,4315.9,1.57,4284.21,-0.73,Predicted Sell
AVANTIFEED.NS,569.7,0.35,567.1,-0.46,Predicted Sell
NAM-INDIA.NS,682.65,2.44,677.45,-0.76,Predicted Sell
RCF.NS,156.98,0.6,154.56,-1.54,Predicted Sell
IOC.NS,134.4,-0.78,136.59,1.63,Predicted Buy Opportunity
ASAHIINDIA.NS,663.15,1.27,664.57,0.21,Predicted Watch
RAILTEL.NS,376.85,-0.16,379.39,0.67,Predicted Watch
RELIANCE.NS,1257.65,0.24,1257.53,-0.01,Predicted Sell
GRINFRA.NS,1560.5,-1.11,1566.52,0.39,Predicted Watch
AEGISLOG.NS,783.4,1.5,769.37,-1.79,Predicted Sell
KNRCON.NS,309.8,0.06,308.49,-0.42,Predicted Sell
PETRONET.NS,316.0,0.77,316.26,0.08,Predicted Watch
CAPLIPOINT.NS,1947.45,-0.78,1957.42,0.51,Predicted Watch
ACC.NS,2193.95,-0.42,2205.43,0.52,Predicted Watch
NTPC.NS,381.7,0.33,384.43,0.72,Predicted Watch
MANYAVAR.NS,1326.8,-0.24,1323.92,-0.22,Predicted Sell
BATAINDIA.NS,1322.9,-0.19,1324.67,0.13,Predicted Watch
UTIAMC.NS,1299.9,3.04,1279.52,-1.57,Predicted Sell
AAVAS.NS,1682.5,0.83,1658.95,-1.4,Predicted Sell
JUBLPHARMA.NS,1171.55,1.87,1152.64,-1.61,Predicted Sell
MINDACORP.NS,486.7,0.15,485.74,-0.2,Predicted Sell
SBICARD.NS,683.7,-0.12,682.1,-0.23,Predicted Sell
LT.NS,3537.75,-0.62,3543.91,0.17,Predicted Watch
HEROMOTOCO.NS,4498.0,-0.35,4560.17,1.38,Predicted Buy Opportunity
BLUESTARCO.NS,1762.95,0.46,1765.92,0.17,Predicted Watch
FLUOROCHEM.NS,4035.0,-1.16,4031.36,-0.09,Predicted Sell
CONCORDBIO.NS,1874.95,2.15,1857.91,-0.91,Predicted Sell
GRASIM.NS,2498.3,-0.19,2511.7,0.54,Predicted Watch
BALAMINES.NS,2010.0,0.25,2003.98,-0.3,Predicted Sell
INDUSTOWER.NS,318.0,-0.31,320.04,0.64,Predicted Watch
CASTROLIND.NS,192.76,0.66,193.19,0.22,Predicted Watch
HONASA.NS,372.4,2.1,367.46,-1.33,Predicted Sell
PIDILITIND.NS,2989.7,-0.34,3005.44,0.53,Predicted Watch
JIOFIN.NS,309.8,1.87,302.77,-2.27,Predicted Sell
CONCOR.NS,781.25,-0.67,790.88,1.23,Predicted Buy Opportunity
HINDUNILVR.NS,2454.05,-0.26,2465.74,0.48,Predicted Watch
SIEMENS.NS,6597.4,-1.63,6702.9,1.6,Predicted Watch
CROMPTON.NS,383.55,-0.12,385.14,0.41,Predicted Watch
APOLLOTYRE.NS,461.7,3.02,461.17,-0.11,Predicted Sell
ABSLAMC.NS,802.35,2.26,785.09,-2.15,Predicted Sell
ZFCVINDIA.NS,14906.7,0.8,14813.25,-0.63,Predicted Sell
RAMCOCEM.NS,890.0,1.18,883.4,-0.74,Predicted Sell
NESTLEIND.NS,2237.35,-0.29,2239.65,0.1,Predicted Watch
TATATECH.NS,960.0,-0.31,965.91,0.62,Predicted Watch
SCHNEIDER.NS,738.6,1.18,728.99,-1.3,Predicted Sell
DEVYANI.NS,169.47,-0.24,167.31,-1.27,Predicted Sell
HAVELLS.NS,1610.05,-0.31,1614.83,0.3,Predicted Watch
GMRINFRA.NS,76.27,0.16,76.49,0.29,Predicted Watch
UCOBANK.NS,41.81,-0.33,42.22,0.98,Predicted Watch
KPRMILL.NS,898.25,1.5,892.01,-0.69,Predicted Sell
SPARC.NS,198.0,-0.75,199.69,0.85,Predicted Watch
KPITTECH.NS,1358.45,0.26,1366.21,0.57,Predicted Watch
JUBLINGREA.NS,666.8,0.36,668.6,0.27,Predicted Watch
ABREL.NS,2604.9,0.84,2572.6,-1.24,Predicted Sell
ALKEM.NS,5655.0,1.6,5574.34,-1.43,Predicted Sell
ASTRAZEN.NS,6972.4,-1.8,7126.74,2.21,Predicted Watch
TANLA.NS,722.55,-0.11,729.63,0.98,Predicted Watch
JKCEMENT.NS,3953.3,-0.5,3991.61,0.97,Predicted Watch
RAINBOW.NS,1644.2,1.58,1612.7,-1.92,Predicted Sell
POONAWALLA.NS,345.8,-0.06,350.78,1.44,Predicted Buy Opportunity
ELECON.NS,535.5,-2.28,545.5,1.87,Predicted Watch
PHOENIXLTD.NS,1442.65,-1.2,1451.78,0.63,Predicted Watch
CANFINHOME.NS,818.0,0.01,820.61,0.32,Predicted Watch
OIL.NS,470.5,-1.3,479.09,1.83,Predicted Watch
APLLTD.NS,1028.5,0.88,1026.64,-0.18,Predicted Sell
POLYMED.NS,2714.6,0.97,2671.25,-1.6,Predicted Sell
